1446502478874	Brasil	BR	city	Aquiraz, Cear	en	geovane dias timbeta	geovanedias10	-7200	1205	I'm at Iguape in Iguape, CE w/ @therezahlima https://t.co/QM9ts08frm	-3.94299473	-38.3319812
1446502478817	United States	US	city	Manhattan, NY	en	NYC Retail Jobs	tmj_nyc_retail	-18000	315	FedEx Office #Retail #Job: Center Assistant Manager (#NewYork, NY) https://t.co/P4S7GJDl4g #Jobs #Hiring #CareerArc	40.7574036	-73.9788132
1446502478928	United States	US	city	Fresno, CA	en	TMJ-FRE Retail Jobs	tmj_fre_retail	-18000	309	Can you recommend anyone for this #Retail #job? https://t.co/CvCWmWdI4h #Fresno, CA #Hiring #CareerArc	36.7477272	-119.7723661
1446502478956	United States	US	city	San Antonio, TX	en	Natali Aranda	LuvsNatali	-18000	1887	@cnqrndivide thanks lol but she was still pretty hot. She had a nice ass 	29.5151195	-98.5736416
1446502478905	United States	US	city	Dubuque, IA	en	Mandel	MManuel_Ocampo	0	346	Still heated tho	42.4606454	-90.7642149
1446502478910	Argentina	AR	admin	Buenos Aires, Argentina	und	Noel Odrau	noelodrau	0	8	https://t.co/LlJffcfDzU	-34.3909	-58.6248
1446502479161	United States	US	city	Chicago, IL	en	Chicago Retail Jobs	tmj_chi_retail	-18000	318	Can you recommend anyone for this #job? Seasonal Stylist - https://t.co/QyWNgNllmt #Chicago, IL #Retail #Hiring #CareerArc	41.9004854	-87.6252706
1446502479181	United States	US	city	Millsboro, DE	en	S. Delaware Sales	tmj_DES_sales	-21600	291	Interested in a #Sales #job near #Millsboro, DE? This could be a great fit: https://t.co/4uuGqWDSvY #Hiring #CareerArc	38.5915023	-75.2913018
1446502479737	Argentina	AR	city	La Capital, Argentina	en	ARIANA.	AriFrndz	-18000	265	La ropa de blonda es un + 1000	-31.6093358	-60.6934143
1446502479749	Peru	PE	city	Santiago de Surco, Peru	es	Daniel	El_Deiniel	-18000	1152	Semana 12! (@ Universidad Ricardo Palma - @urpalma in Santiago de Surco, Lima) https://t.co/hU3k8gY4mn	-12.13164175	-76.97995663
1446502479894	Brasil	BR	city	Porto Alegre, Rio Grande do Sul	en	Srta Machado	toporn4da	-10800	678	I'm at Vila Jardim in Porto Alegre, RS w/ @adri_luly https://t.co/nx8VpeT8Mr	-30.03393483	-51.15124941
